# HR   HD     Vmag  B-V   SpType            
  667  14141  5.55  1.55  M1III             
  668  14171  6.6   -0.03 B9.5V             
  669  14191  5.62  0.01  A1Vn              
  670  14212  5.3   -0.01 A1V               
  671  14213  6.21  ""    A4V               
  672  14214  5.58  0.6   G0.5IVb           
  673  14221  6.37  ""    F4V               
  674  14228  3.56  -0.12 B8V-IV            
  675  14252  5.03  0.04  A2V               
  676  14262  6.46  0.34  A1V+F3III         
  677  14272  6.63  -0.09 B8V               
  678  14287  5.69  1.3   K2III             
  679  14372  6.11  -0.08 B5V               
  680  14373  6.47  ""    K0                
  681  14386  3.04  1.42  M7IIIe+Bep        
  682  14392  5.59  -0.13 B9pSi             
  683  14412  6.34  0.73  G5V               
  684  14417  6.5   0.08  A3V               
  685  14489  5.17  0.37  A2Ia              
  686  14509  6.37  1.16  K2III             
  687  14622  5.82  0.27  F0III-IV          
